Trait	n
aparc-Desikan rh thickness transversetemporal	4
aparc-DKTatlas lh thickness cuneus	4
aparc-DKTatlas lh thickness lateraloccipital	4
aparc-DKTatlas lh thickness paracentral	4
aparc-DKTatlas lh thickness precentral	4
aparc-DKTatlas rh thickness cuneus	4
aparc-DKTatlas rh thickness lateraloccipital	4
aparc-DKTatlas rh thickness lingual	4
aparc-DKTatlas rh thickness paracentral	4
aparc-DKTatlas rh thickness pericalcarine	4
aparc-DKTatlas rh thickness transversetemporal	4
Arachidonate (20:4n6) levels	4
Arsenic metabolism	4
Ascending aorta maximum area (MTAG)	4
aseg lh intensity Cerebellum-Cortex	4
aseg lh intensity VentralDC	4
aseg lh volume Accumbens-area	4
aseg rh intensity Cerebellum-Cortex	4
Atopic asthma	4
Attention deficit hyperactivity disorder or cannabis use	4
Autism and major depressive disorder (MTAG)	4
Average diameter for LDL particles	4
Avocado liking	4
BA-exvivo lh thickness BA4a	4
BA-exvivo lh thickness BA4p	4
BA-exvivo lh thickness V2	4
BA-exvivo rh thickness BA4a	4
BA-exvivo rh thickness V1	4
BA-exvivo rh thickness V2	4
Body fat percentage and LDL-C (pairwise)	4
Body mass index and coronary artery disease (pairwise)	4
Body mass index and HDL-C (pairwise)	4
Brain shape (segment 2)	4
Brain shape (segment 20)	4
Brain surface area change rate x age interaction (2df)	4
Caffeine levels	4
Cancer	4
Cannabis dependence symptom count	4
Cardiorespiratory fitness (vo2 max)	4
Cathepsin D levels	4
Cathepsin S levels	4
Caudate nucleus volume	4
Cauliflower liking	4
Childhood gender nonconformity	4
Cholesterol	4
Cholesterol to total lipids ratio in chylomicrons and extremely large VLDL	4
Cholesteryl ester (15:0) levels	4
Cholesteryl ester (18:3) levels	4
Cholesteryl ester (20:2) levels	4
Cholesteryl ester (22:4) levels	4
Cholesteryl ester (22:5) (n3) levels	4
Cholesteryl ester (22:5) (n6) levels	4
Cholesteryl ester (24:4) levels	4
Cholesteryl ester 20:4 levels	4
Chronic kidney disease	4
Cognitive empathy	4
Colorectal cancer or advanced adenoma	4
Comprehensive strength and appendicular lean mass	4
Coriander liking	4
Coronary artery disease or factor VIII levels (pleiotropy)	4
Creatine kinase levels	4
Crohn's disease vs rheumatoid arthritis (ordinary least squares (OLS))	4
Cutaneous squamous cell carcinoma	4
Decaffeinated coffee consumption and/or alcohol consumption score	4
Decaffeinated coffee consumption and/or alcohol dependence and hazardous-use score	4
Decaffeinated coffee consumption and/or alcohol use disorder score	4
Dehydrocholesteryl ester (16:0) levels	4
Dehydrocholesteryl ester (20:4) levels	4
Dehydrocholesteryl ester (20:5) levels	4
Delta-6 desaturase activity	4
Descending thoracic aortic diameter	4
Diacylglycerol (16:0_20:4) levels	4
Diacylglycerol (18:0_20:4) levels	4
Diacylglycerol (18:2_20:4) levels	4
Diacylglycerol 38:4 levels	4
Diacylglycerol 38:5 levels	4
Dried fruit consumption	4
Drink temperature	4
Drinks usually with meals in current drinkers (yes and it varies vs no) (UKB data field 1618)	4
Esophageal cancer	4
Estradiol levels	4
Eye color	4
F-fruit liking (derived food-liking factor)	4
F-sweet food liking (derived food-liking factor)	4
F-whole food liking (derived food-liking factor)	4
Factor VII activity or levels	4
Factor VIII levels	4
Familial combined hyperlipidemia defined by Goldstein criteria	4
Family history of Alzheimer's disease	4
Fasting blood insulin adjusted for BMI	4
Fasting docosahexaenoic acid (22:6)	4
Fasting mean diameter of VLDLD particles	4
Fasting plasma glucose	4
Fibrinogen	4
Fibrosis-4 index in high alcohol intake	4
Free cholesterol levels	4
Glycated haemoglobin HbA1c levels adjusted for BMI	4
Glycemic traits (pleiotropy)	4
Glycemic traits (pregnancy)	4
Gout vs asymptomatic hyperuricemia	4
Gut microbiota abundance (class Actinobacteria id.419)	4
Handedness (left-handed vs. right-handed)	4
Handedness (non-right-handed vs right-handed)	4
High-grade serous ovarian cancer	4
Histidine levels	4
Hyperlipidemia	4
Hypertrophic cardiomyopathy (MTAG)	4
IDP dMRI ProbtrackX L1 ptr l	4
IDP dMRI ProbtrackX L2 atr l	4
IDP dMRI TBSS ICVF Anterior limb of internal capsule L	4
IDP dMRI TBSS ICVF Posterior limb of internal capsule R	4
IDP dMRI TBSS ICVF Superior fronto-occipital fasciculus L	4
IDP dMRI TBSS L1 Cerebral peduncle L	4
IDP dMRI TBSS L1 Cerebral peduncle R	4
IDP dMRI TBSS L1 External capsule L	4
IDP dMRI TBSS L1 Superior fronto-occipital fasciculus R	4
IDP dMRI TBSS L1 Superior longitudinal fasciculus L	4
IDP dMRI TBSS L1 Uncinate fasciculus L	4
IDP dMRI TBSS MD Cerebral peduncle L	4
IDP dMRI TBSS MD Superior corona radiata L	4
IDP dMRI TBSS MD Superior fronto-occipital fasciculus L	4
IDP dMRI TBSS MD Superior fronto-occipital fasciculus R	4
IDP dMRI TBSS OD Anterior limb of internal capsule R	4
IDP T1 FAST ROIs brain stem	4
IDP T1 FAST ROIs L caudate	4
IDP T1 FAST ROIs L cerebellum V	4
IDP T1 FAST ROIs L cerebellum VI	4
IDP T1 FAST ROIs R caudate	4
IDP T1 FAST ROIs R cerebellum VI	4
IDP T1 FAST ROIs V cerebellum X	4
Infant length	4
Information processing speed	4
Interleukin-12p70 levels	4
Invasive epithelial ovarian cancer	4
Iron status biomarkers (ferritin levels)	4
Iron status biomarkers (total iron binding capacity)	4
Isoleucine levels	4
Language functional connectivity	4
LDL cholesterol x physical activity interaction (2df test)	4
Left–right brain asymmetry	4
Leisure screen time (MTAG)	4
Liver fibrosis and steatohepatitis severity (MRI cT1 measure)	4
Liver volume	4
Local histogram emphysema pattern	4
Low myopia vs hyperopia	4
Lysoalkenylphosphatidylcholine (P-18:1) levels	4
Lysoalkenylphosphatidylcholine (P-20:0) levels	4
Lysoalkylphosphatidylcholine (O-20:0) levels	4
Lysoalkylphosphatidylcholine (O-22:0) levels	4
Lysoalkylphosphatidylcholine (O-24:0) levels	4
Lysoalkylphosphatidylcholine (O-24:2) levels	4
Lysophosphatidylcholine (18:3) [sn1] levels (b)	4
Lysophosphatidylcholine (18:3) [sn2] levels (a)	4
Lysophosphatidylcholine (20:2) [sn1] levels	4
Lysophosphatidylcholine (20:2) [sn2] levels	4
Lysophosphatidylcholine (20:4) [sn1] levels	4
Lysophosphatidylcholine (20:4) [sn2] levels	4
Lysophosphatidylcholine (20:5) [sn1] levels	4
Lysophosphatidylcholine (20:5) [sn2] levels	4
Lysophosphatidylcholine (22:4) [sn1] levels	4
Lysophosphatidylcholine (22:4) [sn2] levels	4
Lysophosphatidylcholine (22:5) [sn1] (n3) levels/Lysophosphatidylcholine (22:5) [sn2] (n6) levels	4
Lysophosphatidylcholine (22:5) [sn2] (n3) levels	4
Lysophosphatidylcholine (24:0) [sn1] levels	4
Lysophosphatidylcholine (24:0) [sn2] levels	4
Lysophosphatidylcholine (26:0) [sn1] levels	4
Lysophosphatidylcholine (26:0) [sn2] levels	4
lysoPhosphatidylcholine acyl C16:0 levels	4
lysoPhosphatidylcholine acyl C16:1 levels	4
lysoPhosphatidylcholine acyl C18:0 levels	4
lysoPhosphatidylcholine acyl C20:3 levels	4
Lysophosphatidylcholines (20:4) levels	4
Lysophosphatidylethanolamine (18:2) [sn1] levels	4
Lysophosphatidylethanolamine (18:2) [sn2] levels	4
Lysophosphatidylethanolamine (20:4) [sn2] levels	4
Lysophosphatidylethanolamine levels	4
Lysophosphatidylinositol (20:4) [sn1] levels	4
Lysophosphatidylinositol (20:4) [sn2] levels	4
Macular telangiectasia type 2	4
Mannose levels	4
Medication use (anti-inflammatory and antirheumatic products, non-steroids)	4
Milk chocolate liking	4
Mitochondrial DNA levels	4
Monocyte chemoattractant protein-1 levels	4
Multiple system atrophy	4
Myopia (age of diagnosis)	4
Nasal polyps	4
Non-lobar intracerebral hemorrhage (MTAG)	4
Nonalcoholic fatty liver disease (imputed)	4
NT-proBNP levels in acute coronary syndrome	4
Nucleus accumbens volume	4
Pancreatic cancer	4
Paraxanthine levels	4
Phosphatidylcholine (14:0_20:4) levels	4
Phosphatidylcholine (15-MHDA_18:2) levels	4
Phosphatidylcholine (15-MHDA_20:4) levels	4
Phosphatidylcholine (15:0_20:3) levels	4
Phosphatidylcholine (15:0_20:4) levels	4
Phosphatidylcholine (16:0_18:0) levels	4
Phosphatidylcholine (16:0_18:2) levels	4
Phosphatidylcholine (16:0_18:3) (a) levels	4
Phosphatidylcholine (16:0_20:3) (a) levels	4
Phosphatidylcholine (16:0_20:3) (b) levels	4
Phosphatidylcholine (16:0_20:4) levels	4
Phosphatidylcholine (16:0_20:5) levels	4
Phosphatidylcholine (16:1_20:4) levels	4
Phosphatidylcholine (17:0_20:4) levels	4
Phosphatidylcholine (17:1_18:2) levels	4
Phosphatidylcholine (18:0_20:4) levels	4
Phosphatidylcholine (18:0_22:4) levels	4
Phosphatidylcholine (18:0_22:5) (n3) levels/Phosphatidylcholine (20:1_20:4) levels	4
Phosphatidylcholine (18:1_18:1) levels	4
Phosphatidylcholine (18:1_20:3) levels	4
Phosphatidylcholine (18:1_22:6) (a) levels	4
Phosphatidylcholine (18:2_18:2) levels	4
Phosphatidylcholine (20:0_20:4) levels	4
Phosphatidylcholine (34:5) levels	4
Phosphatidylcholine (35:5) levels	4
Phosphatidylcholine (38:2) levels	4
Phosphatidylcholine (38:5) (a) levels	4
Phosphatidylcholine (38:5) (b) levels	4
Phosphatidylcholine (38:6) (a) levels	4
Phosphatidylcholine (39:5) (b) levels	4
Phosphatidylcholine (40:8) levels	4
Phosphatidylcholine 36:4 levels	4
Phosphatidylcholine 38:4 levels	4
Phosphatidylcholine acyl-alkyl C36:5 levels	4
Phosphatidylcholine acyl-alkyl C38:3 levels	4
Phosphatidylcholine acyl-alkyl C38:4 levels	4
Phosphatidylcholine acyl-alkyl C38:5 levels	4
Phosphatidylcholine acyl-alkyl C42:5 levels	4
Phosphatidylcholine diacyl C32:2 levels	4
Phosphatidylcholine diacyl C34:3 levels	4
Phosphatidylcholine diacyl C36:4 levels	4
Phosphatidylcholine diacyl C36:6 levels	4
Phosphatidylcholine diacyl C38:4 levels	4
Phosphatidylcholine diacyl C40:5 levels	4
Phosphatidylcholine diacyl C40:6 levels	4
Phosphatidylcholines (34:4) levels	4
Phosphatidylcholines (35:4) levels	4
Phosphatidylcholines (36:4)B levels	4
Phosphatidylcholines (37:5) levels	4
Phosphatidylcholines (38:5)A levels	4
Phosphatidylcholines (38:5)B levels	4
Phosphatidylcholines (40:8) levels	4
Phosphatidylethanolamine (15-MHDA_18:2) levels	4
Phosphatidylethanolamine (16:0_16:1) levels	4
Phosphatidylethanolamine (16:0_18:2) levels	4
Phosphatidylethanolamine (16:0_18:3) (a) levels	4
Phosphatidylethanolamine (16:0_20:3) levels	4
Phosphatidylethanolamine (16:1_18:2) levels	4
Phosphatidylethanolamine (17:0_18:2) levels	4
Phosphatidylethanolamine (18:0_18:2) levels	4
Phosphatidylethanolamine (18:0_20:3) (a) levels	4
Phosphatidylethanolamine (18:1_18:1) levels	4
Phosphatidylethanolamine (18:1_18:2) levels	4
Phosphatidylethanolamine (38:4)A levels	4
Phosphatidylethanolamine-ether levels	4
Phosphatidylglycerol-O_42:0_[M-H]1- levels	4
Phosphatidylinositol (15-MHDA_20:4) levels/Phosphatidylinositol (17:0_20:4) levels	4
Phosphatidylinositol (16:0_20:3) (a) levels	4
Phosphatidylinositol (16:0_20:4) levels	4
Phosphatidylinositol (18:0_20:2) levels	4
Phosphatidylinositol (18:0_20:3) (a) levels	4
Phosphatidylinositol (18:0_20:3) (b) levels	4
Phosphatidylinositol (18:0_20:4) levels	4
Phosphatidylinositol (18:0_22:5) (n6) levels	4
Phosphatidylserine (38:3) levels	4
Phospholipids to total lipids ratio in small HDL	4
Plasma lactate levels	4
Plasma omega-6 polyunsaturated fatty acid levels (adrenic acid)	4
Postprandial docosahexaenoic acid (22:6)	4
Postprandial mean diameter of VLDLD particles	4
Poultry consumption	4
Primary biliary cholangitis	4
Protein C levels	4
Prothrombin time	4
Pulmonary fibrosis	4
Putamen volume	4
Pyruvate levels	4
QC SWI-to-T1 linear alignment discrepancy	4
QT dynamics during exercise	4
Renal overload gout	4
Response to statin therapy	4
Response to statins (LDL cholesterol change)	4
Salad dressing liking	4
Schizophrenia vs Tourette's syndrome and other tic disorders (ordinary least squares (OLS))	4
Serine levels	4
Serous invasive ovarian cancer	4
Serum levels of protein APOE	4
Serum urate levels in chronic kidney disease	4
Shoulder impingement or rotator cuff tear	4
Smoking status (heavy vs never)	4
Sociability score	4
Sphingolipid levels	4
Sphingomyelin (d18:2/22:0) levels	4
Sphingomyelin (d18:2/23:0) levels	4
Sphingomyelin (d18:2/24:0) levels	4
Sphingomyeline C16:0 levels	4
Sphingomyeline C18:0 levels	4
ST2 protein levels	4
Supranormal left ventricular ejection fraction	4
Testosterone levels in postmenopausal women	4
ThalamNuclei lh volume CM	4
ThalamNuclei lh volume PuI	4
ThalamNuclei rh volume MGN	4
ThalamNuclei rh volume PuI	4
ThalamNuclei rh volume VAmc	4
Total Alkenylphosphatidylcholine levels	4
Total Alkylphosphatidylcholine levels	4
Total Lysoalkylphosphatidylcholine levels	4
Triacylglycerol (56:6) [NL-20:4] levels	4
Triacylglycerol (56:8) [NL-20:4] levels	4
Turnip liking	4
Unstable angina pectoris	4
Vaccenic acid (18:1n-7) levels	4
Varicose veins	4
vWF levels	4
Warfarin maintenance dose	4
wg lh intensity-contrast caudalmiddlefrontal	4
wg lh intensity-contrast entorhinal	4
wg lh intensity-contrast inferiorparietal	4
wg lh intensity-contrast inferiortemporal	4
wg lh intensity-contrast paracentral	4
wg lh intensity-contrast parahippocampal	4
wg lh intensity-contrast parsopercularis	4
wg lh intensity-contrast posteriorcingulate	4
wg lh intensity-contrast precentral	4
wg lh intensity-contrast precuneus	4
wg lh intensity-contrast supramarginal	4
wg rh intensity-contrast entorhinal	4
wg rh intensity-contrast inferiorparietal	4
wg rh intensity-contrast isthmuscingulate	4
wg rh intensity-contrast paracentral	4
wg rh intensity-contrast parahippocampal	4
wg rh intensity-contrast precuneus	4
wg rh intensity-contrast superiorparietal	4
wg rh intensity-contrast supramarginal	4
Whole grain cereal liking	4
Worry/vulnerability (special factor of neuroticism)	4
1-linoleoyl-GPE (18:2) levels in elite athletes	3
Alanine transaminase levels	3
Alcohol liking	3
Alkenylphosphatidylcholine (P-18:0/22:6) levels	3
Alkenylphosphatidylethanolamine (P-18:0/18:1) levels	3
Alzheimer's disease or gastroesophageal reflux disease and/or peptic ulcer disease	3
Alzheimer's disease or HDL levels (pleiotropy)	3
Anorexia nervosa vs Tourette's syndrome and other tic disorders (ordinary least squares (OLS))	3
antipsychotic drug dosage in schizophrenia or schizoaffective disorder	3
Anxiety disorder (factor score)	3
aparc-Desikan lh volume pericalcarine	3
aparc-Desikan rh area fusiform	3
aparc-Desikan rh area pericalcarine	3
aparc-Desikan rh volume pericalcarine	3
aparc-DKTatlas lh volume pericalcarine	3
aparc-DKTatlas rh area fusiform	3
aparc-DKTatlas rh volume pericalcarine	3
aparc-pial rh area fusiform	3
aparc-pial rh area pericalcarine	3
Asthma onset (childhood vs adult)	3
Atrial fibrillation/atrial flutter	3
Attention deficit hyperactivity disorder (persistent)	3
Autism spectrum disorder vs Tourette's syndrome and other tic disorders (ordinary least squares (OLS))	3
Basophil percentage of white cells	3
Beer or cider consumption (glasses per month) (UKB data field 1578, 4420)	3
Bipolar disorder vs Tourette's syndrome and other tic disorders (ordinary least squares (OLS))	3
Bitter ale liking	3
Bitter taste perception (multivariate analysis)	3
Body fat percentage and coronary artery disease (pairwise)	3
Body fat percentage and HDL-C (pairwise)	3
Body fat percentage and triglycerides (pairwise)	3
Bone ultrasound measurement (broadband ultrasound attenuation)	3
Brain rsFMRI measurement (functional connectivity) (Net100_Pair15_45)	3
Brain rsFMRI measurement (functional connectivity) (Net100_Pair28_47)	3
Brain shape (segment 151)	3
Breakfast cereal skipping frequency	3
Breakfast skipping	3
Cardiac muscle measurement	3
Central corneal thickness	3
Cereal type: Other (e.g. Cornflakes, Frosties) (UKB data field 1468_5)	3
Cerebral aneurysm	3
Chloride levels	3
Cholecystitis	3
Cholesterol to total lipids ratio in small LDL	3
Cholesterol to total lipids ratio in very large HDL	3
Cholesterol_[M+H-H2O]1+ levels	3
Cholesteryl ester (18:2) levels	3
Cholesteryl ester_18:0_[M+NH4]1+ levels	3
Chronic obstructive pulmonary disease in non-current smokers	3
Chronic obstructive pulmonary disease or high blood pressure (pleiotropy)	3
Chronic obstructive pulmonary disease x current smoker interaction (2df)	3
Chronic obstructive pulmonary disease x current smoker interaction (main effect)	3
Cigarettes smoked per day (past)	3
Citrate levels	3
Cooked vegetable consumption	3
COVID-19 (covid vs negative)	3
Dehydrocholesteryl ester (18:2) levels	3
Excessive daytime sleepiness	3
Falling risk	3
Fasting total cholesterol in HDL	3
Fat body mass	3
Febrile seizures	3
Follistatin levels	3
Free thyroxine concentration	3
Fruit liking	3
Ganglion cell inner plexiform layer (GCIPL) thickness	3
Gout (combined type)	3
Granulocyte percentage of myeloid white cells	3
Help-seeking from a psychiatrist	3
Hirschsprung disease	3
HIV-1 susceptibility	3
Human milk oligosaccharide concentration (2'-fucosyllactose)	3
Hydroxycholesterol_[M+H-2H2O]1+ levels	3
Hydroxysphingomyeline C22:2 levels	3
Hyperuricemia	3
IDP dMRI ProbtrackX L1 slf l	3
IDP dMRI TBSS L3 Anterior corona radiata L	3
IDP dMRI TBSS L3 Superior fronto-occipital fasciculus L	3
IDP dMRI TBSS MD Posterior limb of internal capsule R	3
IGF-1 and IGFBP-3 levels (bivariate analysis)	3
Inflammatory skin disease	3
Interferon gamma-induced protein 10 levels	3
interferon-related traits	3
Ischemic stroke or factor VIII levels (pleiotropy)	3
Ischemic stroke or plasminogen activator inhibitor 1 levels (pleiotropy)	3
Ischemic stroke or tissue plasminogen activator levels (pleiotropy)	3
Itch intensity from mosquito bite adjusted by bite size	3
Kidney stones	3
Left ventricle wall thickness	3
Left ventricular mass	3
Left ventricular mass to end-diastolic volume ratio	3
lysoPhosphatidylcholine acyl C28:0 levels	3
Lysophosphatidylcholines (20:5) levels	3
Lysophosphatidylcholines (22:5) levels	3
Major depressive disorder or stroke (pleiotropy)	3
Melanoma	3
Middle temporal gyrus volume (24 month visit)	3
Migraine without aura	3
Mouth ulcers	3
Mucinous adenocarcinoma in colorectal cancer	3
Neuronal growth regulator 1 levels	3
Nevus count or cutaneous melanoma	3
Nonatopic asthma or type 2 diabetes	3
Oral cavity and pharyngeal cancer	3
OTU97_8 (Ruminococcaceae) prevalence	3
Pappalysin-1 levels	3
Pericardial adipose tissue adjusted for height and weight	3
Peripheral artery disease in ever smokers	3
Phosphatidylcholine (18:0_22:5) (n6) levels	3
Phosphatidylcholine-O_36:1_[M+H]1+/Phosphatidylcholine-P_36:0_[M+H]1+/Phosphatidylethanolamine-O_39:1_[M+H]1+ levels	3
Phosphatidylcholine(38:2)_[M+H]1+/Phosphatidylethanolamine(41:2)_[M+H]1+ levels	3
Phosphatidylcholines (36:5)C levels	3
Phosphatidylglycerol-O_40:0_[M-H]1- levels	3
Phospholipid levels (plasma)	3
Platelet-derived growth factor subunit B levels	3
Plum liking	3
Post-traumatic stress disorder (MTAG)	3
Posterior cortical atrophy and Alzheimer's disease	3
Principal component-derived dietary pattern 18	3
Principal component-derived dietary pattern 4	3
Principal component-derived dietary pattern 7	3
Prostate cancer (advanced)	3
QT interval (drug interaction)	3
Red blood cell traits	3
Regular attendance at a religious group	3
Retinal nerve fibre layer thickness or ganglion cell inner plexiform layer thickness (MTAG)	3
Retinal vascular caliber	3
Rheumatoid arthritis (ACPA-positive)	3
Salty food liking	3
Sarcoidosis	3
Serum levels of protein ISLR2	3
Serum levels of protein NEGR1	3
Serum total cholesterol levels	3
Sleep traits (multi-trait analysis)	3
Small cell lung carcinoma	3
Social science traits (pleiotropy) (HIPO component 1)	3
Sphingomyelin_39:1_[M+H]1+ levels	3
Sphingomyelin_40:0_[M+H]1+ levels	3
Sphingomyelin_40:1_[M+H]1+ levels	3
Sphingomyelin_41:0_[M+H]1+ levels	3
Spleen volume	3
Spontaneous coronary artery dissection	3
Succinylcarnitine (C4-DC) levels in elite athletes	3
Testosterone levels in premenopausal women	3
Total Cholesteryl ester levels	3
Total concentration of branched-chain amino acids (leucine + isoleucine + valine)	3
Total intracranial volume	3
Total Phosphatidylcholine levels	3
Triacylglycerol_45:4_[M+NH4]1+ levels	3
Triacylglycerol_46:4_[M+NH4]1+ levels	3
Triacylglycerol_47:4_[M+NH4]1+ levels	3
Triglyceride levels in HIV infection	3
Triglycerides (56:9) levels	3
Triglycerides (58:10) levels	3
Trihexosylcermide (d18:1/24:0) levels	3
Tumor necrosis factor ligand superfamily member 6, soluble form levels	3
Type 2 diabetes or prostate cancer (pleiotropy)	3
Urate levels in lean individuals	3
Urinary creatinine levels	3
Urinary metabolite modules (eigenmetabolites) in chronic kidney disease	3
Valine levels	3
Vertical cup-disc ratio	3
Vitamin B levels in ischemic stroke	3
Waist circumference and related phenotypes	3
Waist-hip ratio and coronary artery disease (pairwise)	3
Waist-hip ratio and HDL-C (pairwise)	3
Waist-hip ratio and LDL-C (pairwise)	3
Waist-hip ratio and triglycerides (pairwise)	3
1-(1-enyl-palmitoyl)-2-arachidonoyl-gpc (p-16:0/20:4) levels	2
1-(1-enyl-palmitoyl)-2-arachidonoyl-GPC (P-16:0/20:4) levels in elite athletes	2
1-(1-enyl-palmitoyl)-2-arachidonoyl-GPE (p-16:0/20:4) levels	2
1-(1-enyl-palmitoyl)-GPC (p-16:0) levels	2
1-(1-enyl-stearoyl)-2-arachidonoyl-GPC (p-18:0/20:4) levels	2
1-(1-enyl-stearoyl)-2-arachidonoyl-GPE (p-18:0/20:4) levels	2
1-adrenoyl-GPC (22:4) levels	2
1-arachidonoyl-GPC (20:4n6) levels in elite athletes	2
1-arachidonoyl-GPE (20:4n6) levels	2
1-arachidonoyl-GPI (20:4) levels	2
1-arachidonoylglycerophosphocholine levels (Biocrates platform)	2
1-arachidonoylglycerophosphocholine levels (Metabolon platform)	2
1-arachidonylglycerol (20:4) levels	2
1-carboxyethylisoleucine levels	2
1-carboxyethylleucine levels	2
1-carboxyethylphenylalanine levels	2
1-carboxyethylvaline levels	2
1-dihomo-linolenoyl-GPE (20:3n3 or 6) levels	2
1-dihomo-linoleoyl-GPC (20:2) levels	2
1-docosapentaenoyl-GPC (22:5n3) levels	2
1-eicosapentaenoyl-GPC (20:5) levels	2
1-eicosapentaenoyl-GPE (20:5) levels	2
1-linolenoyl-GPE (18:3) levels	2
1-linoleoyl-2-arachidonoyl-GPC (18:2/20:4n6) levels	2
1-linoleoyl-2-linolenoyl-GPC (18:2/18:3) levels	2
1-linoleoyl-GPE (18:2) levels	2
1-linoleoyl-GPI (18:2) levels	2
1-linoleoylglycerophosphoethanolamine levels	2
1-margaroyl-2-linoleoyl-GPC (17:0/18:2) levels	2
1-meadoyl-GPC (20:3n9) levels	2
1-myristoyl-2-docosahexaenoyl-GPC (14:0/22:6) levels	2
1-myristoyl-2-eicosapentaenoyl-GPC (14:0/20:5) levels	2
1-myristoyl-2-linoleoyl-GPC (14:0/18:2) levels	2
1-myristoyl-GPC (14:0) levels	2
1-myristoylglycerol (14:0) levels	2
1-oleoyl-2-dihomo-linolenoyl-GPC (18:1/20:3) levels	2
1-oleoyl-2-docosahexaenoyl-GPE (18:1/22:6) levels	2
1-oleoyl-2-eicosapentaenoyl-GPC (18:1/20:5) levels	2
1-oleoyl-2-linoleoyl-GPE (18:1/18:2) levels	2
1-palmitoleoyl-2-linolenoyl-GPC (16:1/18:3) levels	2
1-palmitoleoylglycerol (16:1) levels	2
1-palmitoyl-2-arachidonoyl-GPC (16:0/20:4n6) levels in elite athletes	2
1-palmitoyl-2-dihomo-linolenoyl-GPE (16:0/20:3) levels	2
1-palmitoyl-2-eicosapentaenoyl-GPC (16:0/20:5) levels	2
1-palmitoyl-2-linoleoyl-gpc (16:0/18:2) levels	2
1-palmitoyl-2-linoleoyl-GPE (16:0/18:2) levels	2
1-palmitoyl-2-linoleoyl-GPI (16:0/18:2) levels	2
1-palmitoyl-2-meadoyl-GPC (16:0/20:3n9) levels	2
1-palmitoyl-2-oleoyl-GPE (16:0/18:1) levels	2
1-palmitoyl-2-oleoyl-GPI (16:0/18:1) levels	2
1-palmitoyl-2-stearoyl-gpc (16:0/18:0) levels	2
1-palmitoyl-GPE (16:0) levels	2
1-palmityl-2-arachidonoyl-GPC (o-16:0/20:4) levels	2
1-pentadecanoyl-2-arachidonoyl-GPC (15:0/20:4) levels	2
1-pentadecanoyl-2-linoleoyl-GPC (15:0/18:2) levels	2
1-stearoyl-2-adrenoyl-GPC (18:0/22:4) levels	2
1-stearoyl-2-arachidonoyl-GPC (18:0/20:4) levels in elite athletes	2
1-stearoyl-2-docosahexaenoyl-GPE (18:0/22:6) levels	2
1-stearoyl-2-linoleoyl-gpc (18:0/18:2) levels	2
1-stearoyl-2-linoleoyl-GPI (18:0/18:2) levels	2
1-stearoyl-2-meadoyl-GPC (18:0/20:3n9) levels	2
1-stearoyl-2-oleoyl-GPI (18:0/18:1) levels	2
1-stearoyl-GPE (18:0) levels	2
1,2-dilinoleoyl-GPC (18:2/18:2) levels	2
1,2-dipalmitoyl-gpc (16:0/16:0) levels	2
1,3,7-trimethylurate levels	2
1,5-anhydroglucitol levels	2
1,7-dimethylurate levels	2
2-arachidonoyl-GPC (20:4) levels	2
2-linoleoyl-GPE (18:2) levels	2
2-myristoyl-GPC (14:0) levels	2
3-aminoisobutyrate levels	2
3-methylxanthine levels	2
3,5-dichloro-2,6-dihydroxybenzoic acid levels	2
6-hydroxyindole sulfate levels	2
Academic attainment (science)	2
acne vulgaris	2
Activated partial thromboplastin time	2
Added salt consumption	2
ADHD vs anorexia nervosa (ordinary least squares (OLS))	2
Adrenate (22:4n6) levels	2
Adult diffuse glioma (IDH mutation)	2
Adult onset asthma or fasting glucose levels	2
Adverse response to chemotherapy (neutropenia/leucopenia) (all anthracycline-based drugs)	2
Adverse response to chemotherapy (neutropenia/leucopenia) (carboplatin)	2
Age of smoking initiation	2
Age-related hearing impairment (SNP x SNP interaction)	2
Airflow obstruction	2
Alkenylphosphatidylcholine (P-15:0/20:4) (a) levels	2
Alkenylphosphatidylcholine (P-16:0/16:0) levels	2
Alkenylphosphatidylcholine (P-16:0/18:0) levels	2
Alkenylphosphatidylcholine (P-16:0/18:3) levels	2
Alkenylphosphatidylcholine (P-16:0/20:5) levels	2
Alkenylphosphatidylcholine (P-16:0/22:6) levels	2
Alkenylphosphatidylcholine (P-36:3) levels	2
Alkenylphosphatidylethanolamine (P-16:0/18:1) levels	2
Alkenylphosphatidylethanolamine (P-16:0/18:2) levels	2
Alkenylphosphatidylethanolamine (P-16:0/18:3) levels	2
Alkenylphosphatidylethanolamine (P-18:0/18:2) levels	2
Alkenylphosphatidylethanolamine (P-18:0/18:3) levels	2
Alkenylphosphatidylethanolamine (P-18:0/22:5) (n6) levels	2
Alkenylphosphatidylethanolamine (P-18:1/18:1) (a) levels	2
Alkenylphosphatidylethanolamine (P-18:1/18:1) (b) levels	2
Alkenylphosphatidylethanolamine (P-18:1/18:1) levels	2
Alkenylphosphatidylethanolamine (P-18:1/18:2) (a) levels	2
Alkenylphosphatidylethanolamine (P-18:1/18:2) (b) levels	2
Alkenylphosphatidylethanolamine (P-18:1/18:3) levels	2
Alkylphosphatidylcholine (O-16:0/22:6) levels	2
Alkylphosphatidylcholine (O-18:0/18:2) levels	2
Alkylphosphatidylcholine (O-18:1/18:1) levels	2
Alkylphosphatidylcholine (O-18:1/18:2) levels	2
Alkylphosphatidylcholine (O-32:1) levels	2
